,ticker,company_name,industry,full,url,group
0,A,Agilent Technologies,Life Sciences Tools & Services,A - Agilent Technologies,https://stockanalysis.com/stocks/A/,1
1,AA,Alcoa,Metals & Mining,AA - Alcoa,https://stockanalysis.com/stocks/AA/,1
2,AAC,Ares Acquisition,Blank Check / SPAC,AAC - Ares Acquisition,https://stockanalysis.com/stocks/AAC/,1
3,AACG,ATA Creativity Global,Diversified Consumer Services,AACG - ATA Creativity Global,https://stockanalysis.com/stocks/AACG/,1
4,AADI,Aadi Bioscience,Biotechnology,AADI - Aadi Bioscience,https://stockanalysis.com/stocks/AADI/,1
5,AAIC,Arlington Asset Investment,Mortgage Real Estate Investment Trus...,AAIC - Arlington Asset Investment,https://stockanalysis.com/stocks/AAIC/,1
6,AAL,American Airlines,Airlines,AAL - American Airlines,https://stockanalysis.com/stocks/AAL/,1
7,AAMC,Altisource Asset Management,Real Estate Management & Development,AAMC - Altisource Asset Management,https://stockanalysis.com/stocks/AAMC/,1
8,AAME,Atlantic American,Insurance,AAME - Atlantic American,https://stockanalysis.com/stocks/AAME/,1
9,AAN,The Aaron's Company,Specialty Retail,AAN - The Aaron's Company,https://stockanalysis.com/stocks/AAN/,1
10,AAOI,Applied Optoelectronics,Communications Equipment,AAOI - Applied Optoelectronics,https://stockanalysis.com/stocks/AAOI/,1
11,AAON,"AAON, Inc.",Building Products,"AAON - AAON, Inc.",https://stockanalysis.com/stocks/AAON/,1
12,AAP,Advance Auto Parts,Specialty Retail,AAP - Advance Auto Parts,https://stockanalysis.com/stocks/AAP/,1
13,AAPL,Apple,"Technology Hardware, Storage & Periph...",AAPL - Apple,https://stockanalysis.com/stocks/AAPL/,1
14,AAQC,Accelerate Acquisition,Blank Check / SPAC,AAQC - Accelerate Acquisition,https://stockanalysis.com/stocks/AAQC/,1
15,AAT,American Assets Trust,Equity Real Estate Investment Trusts...,AAT - American Assets Trust,https://stockanalysis.com/stocks/AAT/,1
16,AATC,Autoscope Technologies,Scientific & Technical Instruments,AATC - Autoscope Technologies,https://stockanalysis.com/stocks/AATC/,1
17,AAU,Almaden Minerals,Metals & Mining,AAU - Almaden Minerals,https://stockanalysis.com/stocks/AAU/,1
18,AAWW,Atlas Air Worldwide Holdings,Air Freight & Logistics,AAWW - Atlas Air Worldwide Holdings,https://stockanalysis.com/stocks/AAWW/,1
19,AB,AllianceBernstein,Capital Markets,AB - AllianceBernstein,https://stockanalysis.com/stocks/AB/,1
20,ABB,ABB Ltd.,Electrical Equipment,ABB - ABB Ltd.,https://stockanalysis.com/stocks/ABB/,1
21,ABBV,AbbVie,Biotechnology,ABBV - AbbVie,https://stockanalysis.com/stocks/ABBV/,1
22,ABC,AmerisourceBergen,Health Care Providers & Services,ABC - AmerisourceBergen,https://stockanalysis.com/stocks/ABC/,1
23,ABCB,Ameris Bancorp,Banks,ABCB - Ameris Bancorp,https://stockanalysis.com/stocks/ABCB/,1
24,ABCL,AbCellera Biologics,Biotechnology,ABCL - AbCellera Biologics,https://stockanalysis.com/stocks/ABCL/,1
25,ABCM,Abcam PLC,Biotechnology,ABCM - Abcam PLC,https://stockanalysis.com/stocks/ABCM/,1
26,ABEO,Abeona Therapeutics,Biotechnology,ABEO - Abeona Therapeutics,https://stockanalysis.com/stocks/ABEO/,1
27,ABEV,Ambev,Beverages,ABEV - Ambev,https://stockanalysis.com/stocks/ABEV/,1
28,ABG,Asbury Automotive Group,Specialty Retail,ABG - Asbury Automotive Group,https://stockanalysis.com/stocks/ABG/,1
29,ABGI,ABG Acquisition I,Blank Check / SPAC,ABGI - ABG Acquisition I,https://stockanalysis.com/stocks/ABGI/,1
30,ABIO,ARCA biopharma,Biotechnology,ABIO - ARCA biopharma,https://stockanalysis.com/stocks/ABIO/,1
31,ABM,ABM Industries,Commercial Services & Supplies,ABM - ABM Industries,https://stockanalysis.com/stocks/ABM/,1
