,description,displaySymbol,symbol
0,COINBASE BCH/USD,BCH/USD,COINBASE:BCH-USD
1,COINBASE AAVE/GBP,AAVE/GBP,COINBASE:AAVE-GBP
2,COINBASE LRC/BTC,LRC/BTC,COINBASE:LRC-BTC
3,COINBASE ATOM/BTC,ATOM/BTC,COINBASE:ATOM-BTC
4,COINBASE OMG/GBP,OMG/GBP,COINBASE:OMG-GBP
5,COINBASE DOT/EUR,DOT/EUR,COINBASE:DOT-EUR
6,COINBASE 1INCH/EUR,1INCH/EUR,COINBASE:1INCH-EUR
7,COINBASE ZEC/USD,ZEC/USD,COINBASE:ZEC-USD
8,COINBASE NMR/USD,NMR/USD,COINBASE:NMR-USD
9,COINBASE CHZ/USDT,CHZ/USDT,COINBASE:CHZ-USDT
10,COINBASE USDT/USD,USDT/USD,COINBASE:USDT-USD
11,COINBASE GRT/BTC,GRT/BTC,COINBASE:GRT-BTC
12,COINBASE MANA/USD,MANA/USD,COINBASE:MANA-USD
13,COINBASE SOL/USDT,SOL/USDT,COINBASE:SOL-USDT
14,COINBASE ALGO/USD,ALGO/USD,COINBASE:ALGO-USD
15,COINBASE UMA/BTC,UMA/BTC,COINBASE:UMA-BTC
16,COINBASE ALGO/GBP,ALGO/GBP,COINBASE:ALGO-GBP
17,COINBASE PAX/USDT,PAX/USDT,COINBASE:PAX-USDT
18,COINBASE SUSHI/ETH,SUSHI/ETH,COINBASE:SUSHI-ETH
19,COINBASE AAVE/USD,AAVE/USD,COINBASE:AAVE-USD
20,COINBASE EOS/BTC,EOS/BTC,COINBASE:EOS-BTC
21,COINBASE GRT/EUR,GRT/EUR,COINBASE:GRT-EUR
22,COINBASE GRT/USD,GRT/USD,COINBASE:GRT-USD
23,COINBASE BAL/BTC,BAL/BTC,COINBASE:BAL-BTC
24,COINBASE LRC/USD,LRC/USD,COINBASE:LRC-USD
25,COINBASE FORTH/EUR,FORTH/EUR,COINBASE:FORTH-EUR
26,COINBASE FORTH/BTC,FORTH/BTC,COINBASE:FORTH-BTC
