,ticker,company_name,industry,full,url
0,A,Agilent Technologies,Diagnostics & Research,A - Agilent Technologies,https://stockanalysis.com/stocks/A/
1,AA,Alcoa,Aluminum,AA - Alcoa,https://stockanalysis.com/stocks/AA/
2,AAC,Ares Acquisition,Shell Companies,AAC - Ares Acquisition,https://stockanalysis.com/stocks/AAC/
3,AACG,ATA Creativity Global,Education & Training Services,AACG - ATA Creativity Global,https://stockanalysis.com/stocks/AACG/
4,AADI,Aadi Bioscience,Biotechnology,AADI - Aadi Bioscience,https://stockanalysis.com/stocks/AADI/
5,AAIC,Arlington Asset Investment,REIT-Mortgage,AAIC - Arlington Asset Investment,https://stockanalysis.com/stocks/AAIC/
6,AAL,American Airlines,Airlines,AAL - American Airlines,https://stockanalysis.com/stocks/AAL/
7,AAMC,Altisource Asset Management,Asset Management,AAMC - Altisource Asset Management,https://stockanalysis.com/stocks/AAMC/
8,AAME,Atlantic American,Insurance-Life,AAME - Atlantic American,https://stockanalysis.com/stocks/AAME/
9,AAN,The Aaron's Company,Specialty Retail,AAN - The Aaron's Company,https://stockanalysis.com/stocks/AAN/
10,AAOI,Applied Optoelectronics,Semiconductors,AAOI - Applied Optoelectronics,https://stockanalysis.com/stocks/AAOI/
11,AAON,"AAON, Inc.",Building Products & Equipment,"AAON - AAON, Inc.",https://stockanalysis.com/stocks/AAON/
12,AAP,Advance Auto Parts,Specialty Retail,AAP - Advance Auto Parts,https://stockanalysis.com/stocks/AAP/
13,AAPL,Apple,Consumer Electronics,AAPL - Apple,https://stockanalysis.com/stocks/AAPL/
14,AAQC,Accelerate Acquisition,Shell Companies,AAQC - Accelerate Acquisition,https://stockanalysis.com/stocks/AAQC/
15,AAT,American Assets Trust,REIT-Diversified,AAT - American Assets Trust,https://stockanalysis.com/stocks/AAT/
16,AATC,Autoscope Technologies,Scientific & Technical Instruments,AATC - Autoscope Technologies,https://stockanalysis.com/stocks/AATC/
17,AAU,Almaden Minerals,Gold,AAU - Almaden Minerals,https://stockanalysis.com/stocks/AAU/
18,AAWW,Atlas Air Worldwide Holdings,Airports & Air Services,AAWW - Atlas Air Worldwide Holdings,https://stockanalysis.com/stocks/AAWW/
19,AB,AllianceBernstein,Asset Management,AB - AllianceBernstein,https://stockanalysis.com/stocks/AB/
20,ABB,ABB Ltd.,Electrical Equipment & Parts,ABB - ABB Ltd.,https://stockanalysis.com/stocks/ABB/
21,ABBV,AbbVie,Drug Manufacturers-General,ABBV - AbbVie,https://stockanalysis.com/stocks/ABBV/
22,ABC,AmerisourceBergen,Medical Distribution,ABC - AmerisourceBergen,https://stockanalysis.com/stocks/ABC/
23,ABCB,Ameris Bancorp,Banks-Regional,ABCB - Ameris Bancorp,https://stockanalysis.com/stocks/ABCB/
24,ABCL,AbCellera Biologics,Biotechnology,ABCL - AbCellera Biologics,https://stockanalysis.com/stocks/ABCL/
25,ABCM,Abcam PLC,Biotechnology,ABCM - Abcam PLC,https://stockanalysis.com/stocks/ABCM/
26,ABEO,Abeona Therapeutics,Biotechnology,ABEO - Abeona Therapeutics,https://stockanalysis.com/stocks/ABEO/
27,ABEV,Ambev,Beverages-Brewers,ABEV - Ambev,https://stockanalysis.com/stocks/ABEV/
28,ABG,Asbury Automotive Group,Auto & Truck Dealerships,ABG - Asbury Automotive Group,https://stockanalysis.com/stocks/ABG/
29,ABGI,ABG Acquisition I,Shell Companies,ABGI - ABG Acquisition I,https://stockanalysis.com/stocks/ABGI/
30,ABIO,ARCA biopharma,Biotechnology,ABIO - ARCA biopharma,https://stockanalysis.com/stocks/ABIO/
31,ABM,ABM Industries,Specialty Business Services,ABM - ABM Industries,https://stockanalysis.com/stocks/ABM/
32,ABMD,Abiomed,Medical Devices,ABMD - Abiomed,https://stockanalysis.com/stocks/ABMD/
33,ABNB,Airbnb,Internet Content & Information,ABNB - Airbnb,https://stockanalysis.com/stocks/ABNB/
34,ABOS,Acumen Pharmaceuticals,Biotechnology,ABOS - Acumen Pharmaceuticals,https://stockanalysis.com/stocks/ABOS/
35,ABR,Arbor Realty Trust,REIT-Mortgage,ABR - Arbor Realty Trust,https://stockanalysis.com/stocks/ABR/
36,ABSI,Absci,Biotechnology,ABSI - Absci,https://stockanalysis.com/stocks/ABSI/
37,ABST,Absolute Software,Software-Application,ABST - Absolute Software,https://stockanalysis.com/stocks/ABST/
38,ABT,Abbott Laboratories,Medical Devices,ABT - Abbott Laboratories,https://stockanalysis.com/stocks/ABT/
39,ABTX,Allegiance Bancshares,Banks-Regional,ABTX - Allegiance Bancshares,https://stockanalysis.com/stocks/ABTX/
40,ABUS,Arbutus Biopharma,Biotechnology,ABUS - Arbutus Biopharma,https://stockanalysis.com/stocks/ABUS/
41,ABVC,ABVC BioPharma,Biotechnology,ABVC - ABVC BioPharma,https://stockanalysis.com/stocks/ABVC/
42,AC,Associated Capital Group,Capital Markets,AC - Associated Capital Group,https://stockanalysis.com/stocks/AC/
43,ACA,Arcosa,Infrastructure Operations,ACA - Arcosa,https://stockanalysis.com/stocks/ACA/
44,ACAD,ACADIA Pharmaceuticals,Biotechnology,ACAD - ACADIA Pharmaceuticals,https://stockanalysis.com/stocks/ACAD/
45,ACAH,Atlantic Coastal Acquisition,Shell Companies,ACAH - Atlantic Coastal Acquisition,https://stockanalysis.com/stocks/ACAH/
46,ACB,Aurora Cannabis,Drug Manufacturers-Specialty & Generic,ACB - Aurora Cannabis,https://stockanalysis.com/stocks/ACB/
47,ACBA,Ace Global Business Acquisition,Shell Companies,ACBA - Ace Global Business Acquisition,https://stockanalysis.com/stocks/ACBA/
48,ACBI,Atlantic Capital Bancshares,Banks-Regional,ACBI - Atlantic Capital Bancshares,https://stockanalysis.com/stocks/ACBI/
49,ACC,American Campus Communities,REIT-Residential,ACC - American Campus Communities,https://stockanalysis.com/stocks/ACC/
50,ACCD,Accolade,Health Information Services,ACCD - Accolade,https://stockanalysis.com/stocks/ACCD/
51,ACCO,ACCO Brands,Business Equipment & Supplies,ACCO - ACCO Brands,https://stockanalysis.com/stocks/ACCO/
52,ACEL,Accel Entertainment,Gambling,ACEL - Accel Entertainment,https://stockanalysis.com/stocks/ACEL/
53,ACER,Acer Therapeutics,Biotechnology,ACER - Acer Therapeutics,https://stockanalysis.com/stocks/ACER/
54,ACET,Adicet Bio,Biotechnology,ACET - Adicet Bio,https://stockanalysis.com/stocks/ACET/
55,ACEV,ACE Convergence Acquisition,Shell Companies,ACEV - ACE Convergence Acquisition,https://stockanalysis.com/stocks/ACEV/
56,ACGL,Arch Capital Group,Insurance-Diversified,ACGL - Arch Capital Group,https://stockanalysis.com/stocks/ACGL/
57,ACH,Aluminum Corporation of China,Aluminum,ACH - Aluminum Corporation of China,https://stockanalysis.com/stocks/ACH/
58,ACHC,Acadia Healthcare Company,Medical Care Facilities,ACHC - Acadia Healthcare Company,https://stockanalysis.com/stocks/ACHC/
59,ACHL,Achilles Therapeutics,Biotechnology,ACHL - Achilles Therapeutics,https://stockanalysis.com/stocks/ACHL/
60,ACHV,Achieve Life Sciences,Biotechnology,ACHV - Achieve Life Sciences,https://stockanalysis.com/stocks/ACHV/
61,ACI,Albertsons Companies,Grocery Stores,ACI - Albertsons Companies,https://stockanalysis.com/stocks/ACI/
62,ACIC,Atlas Crest Investment,Shell Companies,ACIC - Atlas Crest Investment,https://stockanalysis.com/stocks/ACIC/
63,ACII,Atlas Crest Investment II,Shell Companies,ACII - Atlas Crest Investment II,https://stockanalysis.com/stocks/ACII/
64,ACIU,AC Immune,Biotechnology,ACIU - AC Immune,https://stockanalysis.com/stocks/ACIU/
65,ACIW,ACI Worldwide,Software-Infrastructure,ACIW - ACI Worldwide,https://stockanalysis.com/stocks/ACIW/
66,ACKIT,Ackrell SPAC Partners I,Shell Companies,ACKIT - Ackrell SPAC Partners I,https://stockanalysis.com/stocks/ACKIT/
67,ACLS,Axcelis Technologies,Semiconductor Equipment & Materials,ACLS - Axcelis Technologies,https://stockanalysis.com/stocks/ACLS/
68,ACM,Aecom,Engineering & Construction,ACM - Aecom,https://stockanalysis.com/stocks/ACM/
69,ACMR,ACM Research,Semiconductor Equipment & Materials,ACMR - ACM Research,https://stockanalysis.com/stocks/ACMR/
70,ACN,Accenture,Information Technology Services,ACN - Accenture,https://stockanalysis.com/stocks/ACN/
71,ACNB,ACNB Corporation,Banks-Regional,ACNB - ACNB Corporation,https://stockanalysis.com/stocks/ACNB/
72,ACOR,Acorda Therapeutics,Biotechnology,ACOR - Acorda Therapeutics,https://stockanalysis.com/stocks/ACOR/
73,ACQR,Independence Holdings,Shell Companies,ACQR - Independence Holdings,https://stockanalysis.com/stocks/ACQR/
74,ACR,ACRES Commercial Realty,REIT-Mortgage,ACR - ACRES Commercial Realty,https://stockanalysis.com/stocks/ACR/
75,ACRE,Ares Commercial Real Estate,REIT-Mortgage,ACRE - Ares Commercial Real Estate,https://stockanalysis.com/stocks/ACRE/
76,ACRO,Acropolis Infrastructure Acquisition,Shell Companies,ACRO - Acropolis Infrastructure Acquisition,https://stockanalysis.com/stocks/ACRO/
77,ACRS,Aclaris Therapeutics,Biotechnology,ACRS - Aclaris Therapeutics,https://stockanalysis.com/stocks/ACRS/
78,ACRX,AcelRx Pharmaceuticals,Drug Manufacturers-Specialty & Generic,ACRX - AcelRx Pharmaceuticals,https://stockanalysis.com/stocks/ACRX/
79,ACST,Acasti Pharma,Biotechnology,ACST - Acasti Pharma,https://stockanalysis.com/stocks/ACST/
80,ACTD,Arclight Clean Transition II,Shell Companies,ACTD - Arclight Clean Transition II,https://stockanalysis.com/stocks/ACTD/
81,ACTG,Acacia Research,Specialty Business Services,ACTG - Acacia Research,https://stockanalysis.com/stocks/ACTG/
82,ACU,Acme United,Household & Personal Products,ACU - Acme United,https://stockanalysis.com/stocks/ACU/
83,ACVA,ACV Auctions,Software-Application,ACVA - ACV Auctions,https://stockanalysis.com/stocks/ACVA/
84,ACXP,Acurx Pharmaceuticals,Biotechnology,ACXP - Acurx Pharmaceuticals,https://stockanalysis.com/stocks/ACXP/
85,ACY,AeroCentury,Rental & Leasing Services,ACY - AeroCentury,https://stockanalysis.com/stocks/ACY/
86,ADAG,Adagene,Biotechnology,ADAG - Adagene,https://stockanalysis.com/stocks/ADAG/
87,ADAP,Adaptimmune Therapeutics,Biotechnology,ADAP - Adaptimmune Therapeutics,https://stockanalysis.com/stocks/ADAP/
88,ADBE,Adobe,Software-Infrastructure,ADBE - Adobe,https://stockanalysis.com/stocks/ADBE/
89,ADC,Agree Realty,REIT-Retail,ADC - Agree Realty,https://stockanalysis.com/stocks/ADC/
90,ADCT,ADC Therapeutics SA,Biotechnology,ADCT - ADC Therapeutics SA,https://stockanalysis.com/stocks/ADCT/
91,ADER,26 Capital Acquisition,Shell Companies,ADER - 26 Capital Acquisition,https://stockanalysis.com/stocks/ADER/
92,ADES,Advanced Emissions Solutions,Pollution & Treatment Controls,ADES - Advanced Emissions Solutions,https://stockanalysis.com/stocks/ADES/
93,ADEX,Adit EdTech Acquisition,Shell Companies,ADEX - Adit EdTech Acquisition,https://stockanalysis.com/stocks/ADEX/
94,ADF,Aldel Financial,Shell Companies,ADF - Aldel Financial,https://stockanalysis.com/stocks/ADF/
95,ADGI,Adagio Therapeutics,Biotechnology,ADGI - Adagio Therapeutics,https://stockanalysis.com/stocks/ADGI/
96,ADI,Analog Devices,Semiconductors,ADI - Analog Devices,https://stockanalysis.com/stocks/ADI/
97,ADIL,Adial Pharmaceuticals,Biotechnology,ADIL - Adial Pharmaceuticals,https://stockanalysis.com/stocks/ADIL/
98,ADM,Archer Daniels Midland,Farm Products,ADM - Archer Daniels Midland,https://stockanalysis.com/stocks/ADM/
99,ADMA,ADMA Biologics,Biotechnology,ADMA - ADMA Biologics,https://stockanalysis.com/stocks/ADMA/
100,ADMP,Adamis Pharmaceuticals,Drug Manufacturers-Specialty & Generic,ADMP - Adamis Pharmaceuticals,https://stockanalysis.com/stocks/ADMP/
101,ADMS,Adamas Pharmaceuticals,Drug Manufacturers-Specialty & Generic,ADMS - Adamas Pharmaceuticals,https://stockanalysis.com/stocks/ADMS/
102,ADN,Advent Technologies,Utilities-Renewable,ADN - Advent Technologies,https://stockanalysis.com/stocks/ADN/
103,ADNT,Adient,Auto Parts,ADNT - Adient,https://stockanalysis.com/stocks/ADNT/
